source_file,userId,movieId,rating,ratedAt,drop_reasons
ratings.csv,28,156605,4.5,2020-01-04T03:10:22Z,"[""missing_genres"", ""title_without_year""]"
ratings.csv,28,167570,4.0,2017-11-24T15:03:56Z,"[""missing_genres"", ""title_without_year""]"
ratings.csv,28,140956,3.0,2019-01-26T23:52:46Z,"[""title_without_year""]"
ratings.csv,35,149334,3.5,2018-12-02T22:06:04Z,"[""title_without_year""]"
ratings.csv,28,244178,4.0,2022-08-28T13:57:02Z,"[""title_without_year""]"
ratings.csv,28,183837,4.5,2020-02-09T01:21:56Z,"[""title_without_year""]"
ratings.csv,31,212373,5.0,2023-01-16T04:17:09Z,"[""title_without_year""]"
ratings.csv,28,221576,3.5,2020-11-13T19:00:29Z,"[""title_without_year""]"
ratings.csv,28,166024,4.5,2018-04-01T23:12:18Z,"[""missing_genres""]"
ratings.csv,35,183869,4.0,2018-12-02T22:11:36Z,"[""missing_genres""]"
ratings.csv,478,172743,3.5,2023-03-14T11:08:34Z,"[""missing_genres""]"
ratings.csv,466,162414,3.5,2019-08-09T15:38:59Z,"[""title_without_year""]"
ratings.csv,490,162414,4.0,2021-08-09T22:00:38Z,"[""title_without_year""]"
ratings.csv,514,162414,4.0,2019-09-03T17:40:05Z,"[""title_without_year""]"
ratings.csv,547,221886,2.5,2023-03-11T06:44:48Z,"[""missing_genres""]"
ratings.csv,525,122896,4.5,2017-12-07T19:53:29Z,"[""missing_genres""]"
ratings.csv,547,122896,2.0,2023-03-11T06:44:49Z,"[""missing_genres""]"
ratings.csv,459,140956,4.5,2018-08-27T17:22:56Z,"[""title_without_year""]"
ratings.csv,478,149334,4.0,2023-03-15T23:24:54Z,"[""title_without_year""]"
ratings.csv,503,149334,5.0,2020-09-10T21:05:36Z,"[""title_without_year""]"
ratings.csv,514,149334,5.0,2019-09-05T05:52:02Z,"[""title_without_year""]"
ratings.csv,547,149334,3.5,2023-03-10T08:42:43Z,"[""title_without_year""]"
ratings.csv,551,140956,3.0,2018-04-08T13:24:17Z,"[""title_without_year""]"
ratings.csv,551,149334,4.0,2017-04-21T03:45:50Z,"[""title_without_year""]"
ratings.csv,458,244178,4.0,2022-09-04T08:16:40Z,"[""title_without_year""]"
ratings.csv,547,244178,3.5,2023-03-10T07:46:24Z,"[""title_without_year""]"
ratings.csv,551,220380,3.0,2021-09-12T22:55:34Z,"[""title_without_year""]"
ratings.csv,547,251738,2.5,2023-03-11T06:44:48Z,"[""missing_genres""]"
ratings.csv,458,183837,3.0,2023-02-09T08:39:44Z,"[""title_without_year""]"
ratings.csv,490,183837,3.5,2021-08-09T21:26:47Z,"[""title_without_year""]"
ratings.csv,537,183837,2.0,2022-03-17T10:26:02Z,"[""title_without_year""]"
ratings.csv,547,159708,3.5,2023-03-10T06:34:30Z,"[""missing_genres""]"
ratings.csv,551,212373,3.0,2020-09-15T21:37:37Z,"[""title_without_year""]"
ratings.csv,503,141866,4.0,2020-09-07T01:39:02Z,"[""missing_genres""]"
ratings.csv,537,233953,1.5,2022-03-22T18:40:20Z,"[""title_without_year""]"
ratings.csv,547,141866,4.0,2023-03-10T07:00:39Z,"[""missing_genres""]"
ratings.csv,551,221576,2.5,2020-10-19T01:31:14Z,"[""title_without_year""]"
ratings.csv,514,200252,5.0,2019-08-31T14:54:53Z,"[""missing_genres""]"
