source_file,movieId,issue,severity,details
movies.csv,210479,blank_title_after_parse,warning,raw_title= (2019)
movies.csv,98063,relaxed_title_year_match,warning,title=Mona and the Time of Burning Love (Mona ja palavan rakkauden aika) (1983))
movies.csv,79607,title_without_year,warning,"title=Millions Game, The (Das Millionenspiel)"
movies.csv,123619,title_without_year,warning,title=Terrible Joe Moran
movies.csv,125571,title_without_year,warning,title=The Court-Martial of Jackie Robinson
movies.csv,125632,title_without_year,warning,title=In Our Garden
movies.csv,125958,title_without_year,warning,title=Stephen Fry In America - New World
movies.csv,126438,title_without_year,warning,title=Two: The Story of Roman & Nyro
movies.csv,127005,title_without_year,warning,title=A Year Along the Abandoned Road
movies.csv,128612,title_without_year,warning,title=Body/Cialo
movies.csv,128734,title_without_year,warning,title=Polskie gówno
movies.csv,129651,title_without_year,warning,title=The Third Reich: The Rise & Fall
movies.csv,129697,title_without_year,warning,title=La vendetta dei barbari
movies.csv,129705,title_without_year,warning,title=My Own Man
movies.csv,129887,title_without_year,warning,title=Moving Alan
movies.csv,130322,title_without_year,warning,title=Zone 261
movies.csv,130454,title_without_year,warning,title=Michael Laudrup - en Fodboldspiller
movies.csv,130542,title_without_year,warning,title=Honky
movies.csv,131198,title_without_year,warning,title=Blueberry Hill
movies.csv,131225,title_without_year,warning,title=Pleasure Palace
movies.csv,131280,title_without_year,warning,title=Terror on the 40th Floor
movies.csv,131303,title_without_year,warning,title=Hur Marie träffade Fredrik
movies.csv,131606,title_without_year,warning,title=My Boyfriend's Back
movies.csv,132000,title_without_year,warning,title=One Night Only
movies.csv,132948,title_without_year,warning,title=Doli Saja Ke Rakhna
movies.csv,133276,title_without_year,warning,title=The Dead Lands
movies.csv,133475,title_without_year,warning,title=Naked and Cruel
movies.csv,133669,title_without_year,warning,title=Boffo! Tinseltown's Bombs and Blockbusters
movies.csv,134254,title_without_year,warning,"title=C'mon, Let's Live a Little"
movies.csv,134908,title_without_year,warning,title=For a Book of Dollars
movies.csv,135354,title_without_year,warning,title=Twins from Texas
movies.csv,135691,title_without_year,warning,title=Señorita Justice
movies.csv,136028,title_without_year,warning,title=Flash and Firecat
movies.csv,136299,title_without_year,warning,title=Red Victoria
movies.csv,136880,title_without_year,warning,title=Vaastupurush
movies.csv,137284,title_without_year,warning,title=Sierra Leone's Refugee All Stars
movies.csv,137292,title_without_year,warning,title=L'uomo della carità
movies.csv,137411,title_without_year,warning,title=The Big Fall
movies.csv,137443,title_without_year,warning,title=Wolves In The Snow
movies.csv,137599,title_without_year,warning,title=Rosamunde Pilcher - September
movies.csv,137845,title_without_year,warning,title=Amazon Falls
movies.csv,137990,title_without_year,warning,title=Dark Tides
movies.csv,138042,title_without_year,warning,title=The Ritual
movies.csv,138120,title_without_year,warning,title=The Expedition
movies.csv,138518,title_without_year,warning,title=Chinese Boxes
movies.csv,139596,title_without_year,warning,title=Danielův svět
movies.csv,140129,title_without_year,warning,title=The Near Room
movies.csv,140224,title_without_year,warning,title=Filmage: The Story of Descendents/All
movies.csv,140377,title_without_year,warning,title=About Sarah
movies.csv,140605,title_without_year,warning,title=La steppa
movies.csv,140874,title_without_year,warning,title=Swallows and Amazons
movies.csv,140956,title_without_year,warning,title=Ready Player One
movies.csv,141351,title_without_year,warning,title=When The Bough Breaks
movies.csv,141442,title_without_year,warning,title=Los tontos y los estúpidos
movies.csv,141507,title_without_year,warning,title=Ride in a Pink Car
movies.csv,141628,title_without_year,warning,title=The Naked Truth (1957) (Your Past Is Showing)
movies.csv,141708,title_without_year,warning,title=Disaster Playground
movies.csv,141745,title_without_year,warning,title=Nice Guy
movies.csv,141858,title_without_year,warning,"title=OMG, I'm a Robot!"
movies.csv,141930,title_without_year,warning,title=KillerSaurus
movies.csv,142490,title_without_year,warning,title=Viva
movies.csv,142913,title_without_year,warning,title=Ollaan vapaita
movies.csv,143135,title_without_year,warning,title=Rosemont
movies.csv,143410,title_without_year,warning,title=Hyena Road
movies.csv,144054,title_without_year,warning,title=Asphalt Angels
movies.csv,144528,title_without_year,warning,title=Fakta Ladh Mhana
movies.csv,144726,title_without_year,warning,title=Man Crazy
movies.csv,145650,title_without_year,warning,title=Roger la Honte
movies.csv,146010,title_without_year,warning,title=Sentimentalnyy roman
movies.csv,146082,title_without_year,warning,title=Yedyanchi Jatra
movies.csv,146106,title_without_year,warning,title=Dhadakebaaz
movies.csv,146112,title_without_year,warning,title=Ittefaq
movies.csv,146344,title_without_year,warning,title=Elämältä kaiken sain
movies.csv,146364,title_without_year,warning,title=Dil Kya Kare
movies.csv,146370,title_without_year,warning,title=Hogi Pyar Ki Jeet
movies.csv,146429,title_without_year,warning,title=Monk by Blood
movies.csv,146463,title_without_year,warning,title=I Am Syd Stone
movies.csv,146475,title_without_year,warning,title=Alone With People
movies.csv,146740,title_without_year,warning,title=Proibito Rubare - Luigi Comencini
movies.csv,146796,title_without_year,warning,title=Le strelle nel fosso
movies.csv,147188,title_without_year,warning,title=38 Parrots
movies.csv,147250,title_without_year,warning,title=The Adventures of Sherlock Holmes and Doctor Watson
movies.csv,147450,title_without_year,warning,title=Amigo Undead
movies.csv,148093,title_without_year,warning,title=The Republic 
movies.csv,148254,title_without_year,warning,title=A Dark Place Inside
movies.csv,148677,title_without_year,warning,title=Ουζερί Τσιτσάνης
movies.csv,148896,title_without_year,warning,title=Medicinmannen
movies.csv,149009,title_without_year,warning,title=She Who Must Burn
movies.csv,149080,title_without_year,warning,title=A Fare to Remember
movies.csv,149090,title_without_year,warning,title=The Code
movies.csv,149296,title_without_year,warning,title=Unlocking the Cage
movies.csv,149334,title_without_year,warning,title=Nocturnal Animals
movies.csv,149502,title_without_year,warning,title=101次求婚
movies.csv,149715,title_without_year,warning,title=S: Saigo no Keikan - Dakkan: Recovery of Our Future
movies.csv,149757,title_without_year,warning,title=The Frog Prince
movies.csv,150020,title_without_year,warning,title=Vrijdag
movies.csv,150655,title_without_year,warning,title=Aimy in a Cage
movies.csv,150657,title_without_year,warning,title=Trophy Kids
movies.csv,150868,title_without_year,warning,title=Jasne Błękitne Okna
movies.csv,150888,title_without_year,warning,title=Mr. Kuka's Advice
movies.csv,151307,title_without_year,warning,title=The Lovers and the Despot
movies.csv,151517,title_without_year,warning,title=Beauty and the Breast
movies.csv,151655,title_without_year,warning,title=Hundra
movies.csv,151693,title_without_year,warning,title=Holy Hell
movies.csv,151955,title_without_year,warning,title=Veljet
movies.csv,151967,title_without_year,warning,title=Pyaar Tune Kya Kiya
movies.csv,152523,title_without_year,warning,"title=Vous êtes très jolie, mademoiselle"
movies.csv,152808,title_without_year,warning,title=Main Madhuri Dixit Banna Chahti Hoon!
movies.csv,152814,title_without_year,warning,title=Dhund: The Fog
movies.csv,152840,title_without_year,warning,title=The Grave Digger
movies.csv,152884,title_without_year,warning,title=Vaastu Shastra
movies.csv,153184,title_without_year,warning,title=Vergeef me
